Region,Resource,Zone,Cluster,AnnualSum
TRE,TRE_batteries_1,1,1,1.0279809303805018e7
TRE,TRE_biomass_1,1,1,0.0
TRE,TRE_conventional_hydroelectric_1,1,1,0.0
TRE,TRE_conventional_steam_coal_1,1,1,0.0
TRE,TRE_conventional_steam_coal_2,1,2,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,0.0
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,0.0
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,0.0
TRE,TRE_natural_gas_steam_turbine_1,1,1,0.0
TRE,TRE_nuclear_1,1,1,0.0
TRE,TRE_onshore_wind_turbine_1,1,1,0.0
TRE,TRE_petroleum_liquids_1,1,1,0.0
TRE,TRE_small_hydroelectric_1,1,1,0.0
TRE,TRE_solar_photovoltaic_1,1,1,0.0
TRE_WEST,TRE_WEST_batteries_1,2,1,6.755981713064132e6
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,0.0
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,0.0
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,0.0
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,0.0
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,0.0
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,0.0
TRE,TRE_distributed_generation_1,1,1,0.0
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,0.0
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,0.0
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,0.0
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,0.0
TRE,TRE_battery_moderate_0,1,0,0.0
TRE,TRE_nuclear_nuclear_moderate_0,1,0,0.0
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,0.0
TRE,TRE_landbasedwind_class3_moderate_1,1,1,0.0
TRE,TRE_landbasedwind_class3_moderate_2,1,2,0.0
TRE,TRE_landbasedwind_class3_moderate_3,1,3,0.0
TRE,TRE_landbasedwind_class3_moderate_4,1,4,0.0
TRE,TRE_landbasedwind_class3_moderate_5,1,5,0.0
TRE,TRE_landbasedwind_class3_moderate_6,1,6,0.0
TRE,TRE_landbasedwind_class3_moderate_7,1,7,0.0
TRE,TRE_landbasedwind_class3_moderate_8,1,8,0.0
TRE,TRE_utilitypv_class1_moderate_0,1,0,0.0
TRE,TRE_utilitypv_class1_moderate_1,1,1,0.0
TRE,TRE_utilitypv_class1_moderate_2,1,2,0.0
TRE,TRE_utilitypv_class1_moderate_3,1,3,0.0
TRE,TRE_utilitypv_class1_moderate_4,1,4,0.0
TRE,TRE_utilitypv_class1_moderate_5,1,5,0.0
TRE,TRE_utilitypv_class1_moderate_6,1,6,0.0
TRE,TRE_utilitypv_class1_moderate_7,1,7,0.0
TRE,TRE_utilitypv_class1_moderate_8,1,8,0.0
TRE,TRE_offshorewind_class3_moderate_fixed_0_1,1,1,0.0
TRE,TRE_offshorewind_class3_moderate_fixed_0_2,1,2,0.0
TRE,TRE_offshorewind_class12_moderate_floating_0_1,1,1,0.0
TRE,TRE_offshorewind_class12_moderate_floating_0_2,1,2,0.0
TRE_WEST,TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0,0.0
TRE_WEST,TRE_WEST_naturalgas_ccavgcf_moderate_0,2,0,0.0
TRE_WEST,TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0,0.0
TRE_WEST,TRE_WEST_battery_moderate_0,2,0,0.0
TRE_WEST,TRE_WEST_nuclear_nuclear_moderate_0,2,0,0.0
