Region,Resource,Zone,Cluster,AnnualSum
TRE,TRE_batteries_1,1,1,7.465715067889898e7
TRE,TRE_biomass_1,1,1,7.446717799002581e6
TRE,TRE_conventional_hydroelectric_1,1,1,1.6106858272648752e7
TRE,TRE_conventional_steam_coal_1,1,1,1.2516946242082849e9
TRE,TRE_conventional_steam_coal_2,1,2,-8.449132180965429e-10
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,2.3387337912741664e8
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,3.949076959202785e9
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,1.392885328415337e8
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,3.04570192509093e7
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,6.378666951884253e7
TRE,TRE_natural_gas_steam_turbine_1,1,1,2.192863019051823e-9
TRE,TRE_nuclear_1,1,1,1.1191106379545608e9
TRE,TRE_onshore_wind_turbine_1,1,1,913712.9381392702
TRE,TRE_petroleum_liquids_1,1,1,0.0
TRE,TRE_small_hydroelectric_1,1,1,199539.49874151644
TRE,TRE_solar_photovoltaic_1,1,1,4.221107220121869e8
TRE_WEST,TRE_WEST_batteries_1,2,1,6.411674892380467e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,5.412010055164266e8
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,1.2514290483347299e6
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,1.4806692531450136e7
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,5.712469361234387e6
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,657760.092160622
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,-6.163075904563652e-10
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,1.0979776086605916e9
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,0.0
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,3.484506359385097e8
TRE,TRE_distributed_generation_1,1,1,4.8730153525206226e8
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,2.3703865058795393e7
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,-5.795100602440957e-8
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,-2.7160343825568702e-8
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,-1.657445973418146e-8
TRE,TRE_battery_moderate_0,1,0,0.0
TRE,TRE_nuclear_nuclear_moderate_0,1,0,-2.2642903295086786e-9
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,3.0052930745477505e9
TRE,TRE_landbasedwind_class3_moderate_1,1,1,0.0
TRE,TRE_landbasedwind_class3_moderate_2,1,2,0.0
TRE,TRE_landbasedwind_class3_moderate_3,1,3,0.0
TRE,TRE_landbasedwind_class3_moderate_4,1,4,0.0
TRE,TRE_landbasedwind_class3_moderate_5,1,5,0.0
TRE,TRE_landbasedwind_class3_moderate_6,1,6,0.0
TRE,TRE_landbasedwind_class3_moderate_7,1,7,0.0
TRE,TRE_landbasedwind_class3_moderate_8,1,8,0.0
