Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
TRE,TRE_batteries_1,1,1,1,0.0
TRE,TRE_biomass_1,1,1,2,0.0
TRE,TRE_conventional_hydroelectric_1,1,1,3,0.0
TRE,TRE_conventional_steam_coal_1,1,1,4,0.0
TRE,TRE_conventional_steam_coal_2,1,2,5,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,6,0.0
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,7,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,8,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,9,0.0
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,10,0.0
TRE,TRE_natural_gas_steam_turbine_1,1,1,11,0.0
TRE,TRE_nuclear_1,1,1,12,2.594245762974748e8
TRE,TRE_onshore_wind_turbine_1,1,1,13,0.0
TRE,TRE_petroleum_liquids_1,1,1,14,0.0
TRE,TRE_small_hydroelectric_1,1,1,15,0.0
TRE,TRE_solar_photovoltaic_1,1,1,16,0.0
TRE_WEST,TRE_WEST_batteries_1,2,1,17,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,18,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,19,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,20,0.0
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,21,0.0
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,22,0.0
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,23,0.0
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,24,0.0
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,25,0.0
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,26,0.0
TRE,TRE_distributed_generation_1,1,1,27,0.0
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,28,0.0
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,29,0.0
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,30,0.0
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,31,0.0
