Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2,1,2
MWelec,Total_Consumption,Total_Consumption,Heat,Heat,Electricity,Electricity
x1,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x2,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x3,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x4,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x5,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x6,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x7,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x8,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x9,18.1893395500793,0.0,14.904308326988055,0.0,3.2850312230912446,0.0
x10,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x11,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x12,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x13,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x14,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x15,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x16,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x17,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x18,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x19,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x20,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x21,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x22,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x23,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x24,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x25,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x26,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x27,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x28,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x29,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x30,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x31,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x32,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x33,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x34,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x35,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x36,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x37,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x38,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x39,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x40,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x41,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x42,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x43,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x44,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x45,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x46,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x47,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x48,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x49,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x50,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x51,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x52,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x53,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x54,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x55,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x56,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x57,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x58,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x59,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x60,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x61,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x62,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x63,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x64,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x65,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x66,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x67,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x68,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x69,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x70,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x71,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x72,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x73,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x74,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x75,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x76,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x77,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x78,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x79,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x80,18.1893395500793,0.0,14.904308326988055,0.0,3.2850312230912446,0.0
x81,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x82,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x83,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x84,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x85,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x86,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x87,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x88,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x89,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x90,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x91,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x92,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x93,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x94,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x95,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x96,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x97,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x98,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x99,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x100,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x101,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x102,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x103,18.189339550079296,0.0,14.904308326988051,0.0,3.2850312230912437,0.0
x104,18.189339550079296,0.0,14.904308326988051,0.0,3.2850312230912437,0.0
x105,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x106,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x107,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x108,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x109,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x110,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x111,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x112,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x113,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x114,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x115,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x116,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x117,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x118,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x119,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x120,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x121,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x122,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x123,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x124,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x125,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x126,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x127,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x128,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x129,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x130,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x131,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x132,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x133,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x134,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x135,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x136,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x137,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x138,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x139,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x140,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x141,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x142,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x143,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x144,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x145,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x146,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x147,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x148,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x149,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x150,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x151,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x152,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x153,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x154,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x155,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x156,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x157,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x158,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x159,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x160,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x161,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x162,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x163,18.1893395500793,0.0,14.904308326988055,0.0,3.2850312230912446,0.0
x164,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x165,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x166,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x167,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x168,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x169,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x170,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x171,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x172,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x173,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x174,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x175,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x176,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x177,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x178,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x179,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x180,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x181,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x182,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x183,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x184,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x185,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x186,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x187,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x188,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x189,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x190,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x191,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x192,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x193,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x194,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x195,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x196,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x197,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x198,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
x199,196.0018534639208,0.0,160.6035254135806,0.0,35.39832805034021,0.0
