BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
AnnualSum,4.4086894335854095e8,1.250246645733961e6,-1.477134505829198e6,3.79513558758956e7,-3.795135587589569e7,6479.30882047867,0.0005343102909783638,8.122936813637371e7,-1.3226324165303155e6,-5.17571527e8,1.0883286834043662e8,1.1168962195168082e6,-1.3195843803362285e6,2.02122734861765e6,-2.0212273486174562e6,118.78925848380474,0.0005565226727478389,-8.122936813637371e7,-1.3226324165303155e6,-2.4755666e7
t1,37651.66441559144,0.0014101696494040344,-545.3400900112167,2122.385166586629,-9091.69029291876,5.340444739870604e-7,6.073403186525713e-8,14962.199427899744,-221.61358075289067,-44460.0,17991.45570411764,0.0014980926457350576,-236.53678880447595,112.07069724930457,-341.564521843656,5.304707536869643e-7,6.359651960833133e-8,-14962.199427899744,-221.61358075289067,-2120.0
t2,41582.20465006008,0.0014295960215412757,-454.7895232667696,1663.4482049916219,-8907.649963656133,5.341022877166814e-7,6.073368700228901e-8,10098.636179617477,-184.9290507660226,-43416.0,12919.836568269533,0.0014747360944382696,-199.75449189356465,91.22104194851147,-270.81031250505475,5.304057631572797e-7,6.359450082532911e-8,-10098.636179617477,-184.9290507660226,-2072.0
t3,44063.11629944802,0.0014474407217063944,-346.7022299931897,1711.5803685697883,-6609.332932205172,5.340960634639455e-7,6.073115956710425e-8,4631.999940676138,-150.83500906345273,-42953.0,7299.789451072486,0.001458719011791265,-178.34641198463538,93.49453336543064,-223.26907296316801,5.303371862853743e-7,6.358154352844192e-8,-4631.999940676138,-150.83500906345273,-2058.0
t4,42350.169385363246,0.0014590274806596235,-283.7121843599989,1812.4467078460523,-4343.708765682365,5.340782365994498e-7,6.07304256894123e-8,3680.617789540128,-145.41075796394884,-42729.0,6280.937481360219,0.0014471591868370625,-162.28693927293494,98.39063208188753,-188.60331645417477,5.302764126240102e-7,6.356752947664539e-8,-3680.617789540128,-145.41075796394884,-2057.0
t5,39049.24224204853,0.0014478149113472266,-242.07674101657815,1820.3386661703998,-3045.1402055283706,5.340979045412935e-7,6.073623453388024e-8,5763.573983490264,-150.47325858739936,-42849.0,8344.785729517183,0.0014301962784039448,-149.08647290384042,97.95663207451146,-160.13681881280684,5.301922832558185e-7,6.354186441631995e-8,-5763.573983490264,-150.47325858739936,-2069.0
t6,38576.99494479332,0.0014674559108364196,-220.14667780910924,2039.585694921852,-2490.2217262993972,5.345414812664113e-7,6.076084137488427e-8,6357.901061169439,-152.56094421585217,-43763.0,8945.194927173477,0.0014455945554594448,-139.81798489638763,109.14533937337488,-133.50077823798108,5.305064148904106e-7,6.359848809009329e-8,-6357.901061169439,-152.56094421585217,-2118.0
t7,39647.79176806056,0.0014152410552566055,-203.34173208987718,2545.2867112218228,-2090.5611872479235,5.343371142166423e-7,6.072223754845915e-8,6237.348680811243,-149.76639009957333,-45641.0,8899.351842817756,0.0013939049926461596,-131.27640047450384,133.4829173392808,-139.67829317106828,5.304199177578022e-7,6.351361591635174e-8,-6237.348680811243,-149.76639009957333,-2225.0
t8,42906.249545940875,0.0013819466051178488,-212.1889766248636,2358.0994010343657,-2815.1433143444146,5.340339408858084e-7,6.071236488096357e-8,4234.272642197313,-144.648902205602,-45986.0,6943.110963123885,0.0013592149674935292,-131.06210242263575,122.5860741470993,-180.06584804883482,5.305110711215211e-7,6.352608876995103e-8,-4234.272642197313,-144.648902205602,-2231.0
t9,37047.049468084246,2267.8016826276016,-4.887171914863627e-6,3339.24247673857,-2.1655012568640236e-5,5.681097844298738e-7,6.163594998110856e-8,4651.740994266007,-65.82213612580443,-47156.0,4953.642518000389,1937.501401682563,-5.140030866199563e-6,181.2413746289925,-2.32802197457313e-5,5.613061020484648e-7,6.461774674596e-8,-4651.740994266007,-65.82213612580443,-2289.0
t10,43227.6953179857,0.0013610681094705587,-59.359795474587294,3781.7001530587977,-1412.0881041850957,5.350872375255214e-7,6.070651032754053e-8,3653.4385521489153,-141.69730439780616,-48712.0,6345.218910300187,0.0013286531786897682,-58.89912153978881,174.540606505359,-164.0285635680448,5.302563991779732e-7,6.3381585984308e-8,-3653.4385521489153,-141.69730439780616,-2360.0
t11,55488.10474894196,0.0014889643680718444,-1691.6777361380932,3448.7545372872546,-6529.2442130983145,5.352664068461496e-7,6.070408321361301e-8,-298.5239805377814,-225.21098479862854,-49771.0,4137.078960795714,0.001460974950201581,-1563.278198379367,196.2723428571274,-206.176577783048,5.306784907142955e-7,6.342125294130915e-8,298.5239805377814,-225.21098479862854,-2412.0
t12,55848.60902789143,0.0014665812422507377,-1519.1794103256002,3538.540355413881,-7493.1787670082895,5.352509019318547e-7,6.070099318580497e-8,240.9614773198291,-225.38063702062595,-49969.0,4624.842383016943,0.001445348002185273,-1484.293978852304,204.91614034329982,-244.74323908886143,5.305994453336722e-7,6.340313863595512e-8,-240.9614773198291,-225.38063702062595,-2409.0
t13,49266.15878188256,0.0014254692038140476,-148.30658818867565,4415.362988601212,-4185.1349067756355,5.307091100127274e-7,6.065744628981415e-8,1933.3310987702525,-220.70996196234913,-50644.0,4962.5045188213635,0.001413167840376087,-164.6276290503255,237.65297802788984,-218.7802588663575,5.310691635366115e-7,6.347200288847615e-8,-1933.3310987702525,-220.70996196234913,-2442.0
t14,47891.90068027258,0.0014506444529648304,-78.58256211796427,4419.70860331109,-3971.4551896971157,5.344330736244508e-7,6.068925622437474e-8,2405.0295975440904,-211.8048520635501,-50047.0,5294.213976459989,0.0014066154013622463,-87.82463261208987,241.08464281926558,-205.8360922063273,5.313933958938813e-7,6.356248552570841e-8,-2405.0295975440904,-211.8048520635501,-2413.0
t15,46633.96677904304,0.0013774062000326678,-68.8918049351208,4413.1105212890525,-3776.9975277042195,5.303585929495099e-7,6.065475526416556e-8,2818.3589019727106,-183.77768561640931,-49456.0,5600.360669680869,0.0013666091840589462,-71.3539367871331,239.31823540241126,-205.41206229402727,5.307756194973644e-7,6.345151155972647e-8,-2818.3589019727106,-183.77768561640931,-2377.0
t16,47551.233499439426,0.0013882154966974839,-84.43004473059887,4437.149910073605,-4848.932362691843,5.350385454791334e-7,6.070353297250452e-8,2854.732050661679,-167.38078256697102,-49379.0,5674.2587687530195,0.0013742971872985745,-87.15879851586816,240.13582955676083,-266.7435588899379,5.309650114385492e-7,6.349472968488717e-8,-2854.732050661679,-167.38078256697102,-2371.0
t17,45989.951819681664,0.0013346433942597194,-137.97605491323642,4792.025255673025,-6184.004699649282,5.351993787370731e-7,6.069954097656375e-8,6073.201375424217,-142.60307751247623,-50052.0,9151.732433606194,0.0013414277194972208,-141.79010867315196,250.62123794456306,-494.15737445112507,5.314174677957269e-7,6.355443078560077e-8,-6073.201375424217,-142.60307751247623,-2408.0
