region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE,TRE_batteries_1,1,1,1,0.0,0.0,1.4139733000000002e7,0.0,187490.20531419574,0.0,221514.89285700987,0.0,1.0247600457149815e7,7.46190396030865e7,0.0,0.0,0.0,0.0,0.0,7.46190396030865e7,2.4796338555321023e7,4.982270104776548e7
TRE,TRE_biomass_1,1,1,2,0.0,0.0,5.113815e6,0.0,1.9243267199999492e6,2.2405933800000075e7,0.0,0.0,0.0,7.446631576790149e6,0.0,0.0,0.0,0.0,0.0,7.446631576790149e6,2.9444075520000026e7,-2.1997443943209875e7
TRE,TRE_conventional_hydroelectric_1,1,1,3,0.0,0.0,2.2724184e7,0.0,0.0,0.0,0.0,0.0,0.0,1.61057306283443e7,0.0,0.0,0.0,0.0,0.0,1.61057306283443e7,2.2724184e7,-6.618453371655701e6
TRE,TRE_conventional_steam_coal_1,1,1,4,0.0,0.0,3.633915479775202e8,0.0,7.011319067029677e7,6.775805876028107e8,0.0,2.4096961937834773e7,0.0,1.2516912759246724e9,0.0,0.0,0.0,0.0,0.0,1.2516912759246724e9,1.1351822881884625e9,1.1650898773620987e8
TRE,TRE_conventional_steam_coal_2,1,2,5,0.0,0.0,120.48479574143767,0.0,19.800435345793332,225.66492970721887,0.0,7.6381040620218075,0.0,353.93672051404405,0.0,0.0,0.0,0.0,0.0,353.93672051404405,373.58826485647165,-19.6515443424276
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,6,0.0,0.0,1.040929964609805e8,0.0,1.1394944777245007e7,8.701357144546145e7,0.0,1.1893757643738566e7,0.0,2.336869082111223e8,0.0,0.0,0.0,0.0,0.0,2.336869082111223e8,2.1439527032742554e8,1.9291637883696765e7
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,7,0.0,0.0,3.3335680027639776e8,0.0,3.500585278874263e8,2.661956206702727e9,0.0,1.5024008515874603e8,0.0,3.9486480877018843e9,0.0,0.0,0.0,0.0,0.0,3.9486480877018843e9,3.495611620025297e9,4.530364676765871e8
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,8,0.0,0.0,7.00298952241017e7,0.0,2.0231203536741205e6,1.5465950453697963e7,0.0,6.8995068532463955e6,0.0,1.3922552056344235e8,0.0,0.0,0.0,0.0,0.0,1.3922552056344235e8,9.441847288472018e7,4.480704767872217e7
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,9,0.0,0.0,2.298554212713664e7,0.0,137060.82077973726,1.0615983573121445e6,0.0,931303.2439413632,0.0,3.0464196653102215e7,0.0,0.0,0.0,0.0,0.0,3.0464196653102215e7,2.5115504549169883e7,5.348692103932332e6
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,10,0.0,0.0,1.77512953410105e7,0.0,4.428364247529562e6,3.0535093430083033e7,0.0,5.156034508411378e6,0.0,6.3783197058411434e7,0.0,0.0,0.0,0.0,0.0,6.3783197058411434e7,5.787078752703448e7,5.912409531376958e6
