Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x1,-118.28508051399028,-0.0,-118.28508051399028,0.0
x2,-118.28508051186672,-0.0,-118.28508051186672,0.0
x3,-118.28508051006118,-0.0,-118.28508051006118,0.0
x4,-118.28508050811617,-0.0,-118.28508050811617,0.0
x5,-118.28508050687478,-0.0,-118.28508050687478,0.0
x6,-118.2850805056396,-0.0,-118.2850805056396,0.0
x7,-118.28508050481283,-0.0,-118.28508050481283,0.0
x8,-118.28508049377133,-0.0,-118.28508049377133,0.0
x9,-11.00933943716546,-0.0,-11.00933943716546,0.0
x10,-118.28508050654509,-0.0,-118.28508050654509,0.0
x11,-118.28508050925136,-0.0,-118.28508050925136,0.0
x12,-118.28508051069433,-0.0,-118.28508051069433,0.0
x13,-118.28508051125118,-0.0,-118.28508051125118,0.0
x14,-118.28508051210397,-0.0,-118.28508051210397,0.0
x15,-118.2850805135854,-0.0,-118.2850805135854,0.0
x16,-118.28508051495258,-0.0,-118.28508051495258,0.0
x17,-118.28508051634205,-0.0,-118.28508051634205,0.0
x18,-118.28507981249717,-0.0,-118.28507981249717,0.0
x19,-118.28507593782794,-0.0,-118.28507593782794,0.0
x20,-118.28507887201091,-0.0,-118.28507887201091,0.0
x21,-118.28507887470737,-0.0,-118.28507887470737,0.0
x22,-118.28507887725938,-0.0,-118.28507887725938,0.0
x23,-118.28507887908545,-0.0,-118.28507887908545,0.0
x24,-118.28507888157473,-0.0,-118.28507888157473,0.0
x25,-118.28507888368,-0.0,-118.28507888368,0.0
x26,-118.28507888508085,-0.0,-118.28507888508085,0.0
x27,-118.28507888676688,-0.0,-118.28507888676688,0.0
x28,-118.28507888812311,-0.0,-118.28507888812311,0.0
x29,-118.28507888868863,-0.0,-118.28507888868863,0.0
x30,-118.28507888844075,-0.0,-118.28507888844075,0.0
x31,-118.28507888664299,-0.0,-118.28507888664299,0.0
x32,-118.28507887482616,-0.0,-118.28507887482616,0.0
x33,-118.28507901491986,-0.0,-118.28507901491986,0.0
x34,-118.28507926428989,-0.0,-118.28507926428989,0.0
x35,-118.28507926411892,-0.0,-118.28507926411892,0.0
x36,-118.28507926586946,-0.0,-118.28507926586946,0.0
x37,-118.28507926588915,-0.0,-118.28507926588915,0.0
x38,-118.28507926600335,-0.0,-118.28507926600335,0.0
x39,-118.2850792660325,-0.0,-118.2850792660325,0.0
x40,-118.2850792619061,-0.0,-118.2850792619061,0.0
x41,-118.28507890520795,-0.0,-118.28507890520795,0.0
x42,-118.28507890452114,-0.0,-118.28507890452114,0.0
x43,-118.28507348904833,-0.0,-118.28507348904833,0.0
x44,-118.28507350311266,-0.0,-118.28507350311266,0.0
x45,-118.28507350327996,-0.0,-118.28507350327996,0.0
x46,-118.28507350050631,-0.0,-118.28507350050631,0.0
x47,-118.28507349609394,-0.0,-118.28507349609394,0.0
x48,-118.28507349398363,-0.0,-118.28507349398363,0.0
x49,-118.28507350107401,-0.0,-118.28507350107401,0.0
x50,-118.28507890069649,-0.0,-118.28507890069649,0.0
x51,-118.28507890013745,-0.0,-118.28507890013745,0.0
x52,-118.28507889782016,-0.0,-118.28507889782016,0.0
x53,-118.28507889629002,-0.0,-118.28507889629002,0.0
x54,-118.2850788944245,-0.0,-118.2850788944245,0.0
x55,-118.28507889288215,-0.0,-118.28507889288215,0.0
x56,-118.28507889138058,-0.0,-118.28507889138058,0.0
x57,-118.28507885379167,-0.0,-118.28507885379167,0.0
x58,-118.28508052353524,-0.0,-118.28508052353524,0.0
x59,-118.28508052260231,-0.0,-118.28508052260231,0.0
x60,-118.2850805183789,-0.0,-118.2850805183789,0.0
x61,-118.2850805162217,-0.0,-118.2850805162217,0.0
x62,-118.28508051512412,-0.0,-118.28508051512412,0.0
x63,-118.28508051396837,-0.0,-118.28508051396837,0.0
x64,-118.28508051242247,-0.0,-118.28508051242247,0.0
x65,-118.2850805117743,-0.0,-118.2850805117743,0.0
x66,-118.28508051277561,-0.0,-118.28508051277561,0.0
x67,-118.28508024341092,-0.0,-118.28508024341092,0.0
x68,-118.28508024074499,-0.0,-118.28508024074499,0.0
x69,-118.28508051182911,-0.0,-118.28508051182911,0.0
x70,-118.28508051070605,-0.0,-118.28508051070605,0.0
x71,-118.2850805103789,-0.0,-118.2850805103789,0.0
x72,-118.28508051045868,-0.0,-118.28508051045868,0.0
x73,-118.28508050943547,-0.0,-118.28508050943547,0.0
x74,-118.28508050944127,-0.0,-118.28508050944127,0.0
x75,-118.28508051031034,-0.0,-118.28508051031034,0.0
x76,-118.28508051124325,-0.0,-118.28508051124325,0.0
x77,-118.28508051444734,-0.0,-118.28508051444734,0.0
x78,-118.28507952577168,-0.0,-118.28507952577168,0.0
x79,-118.28507801888946,-0.0,-118.28507801888946,0.0
x80,-11.009337005676299,-0.0,-11.009337005676299,0.0
x81,-118.28507786453844,-0.0,-118.28507786453844,0.0
x82,-118.28507978799324,-0.0,-118.28507978799324,0.0
x83,-118.28507952484799,-0.0,-118.28507952484799,0.0
x84,-118.2850805147873,-0.0,-118.2850805147873,0.0
x85,-118.2850805155474,-0.0,-118.2850805155474,0.0
x86,-118.28508051656901,-0.0,-118.28508051656901,0.0
x87,-118.28508051820891,-0.0,-118.28508051820891,0.0
x88,-118.28508051952765,-0.0,-118.28508051952765,0.0
x89,-118.28507980631878,-0.0,-118.28507980631878,0.0
x90,-118.28507885901601,-0.0,-118.28507885901601,0.0
x91,-118.28507886130798,-0.0,-118.28507886130798,0.0
x92,-118.28507886241412,-0.0,-118.28507886241412,0.0
x93,-118.28507886358369,-0.0,-118.28507886358369,0.0
x94,-118.28507886398546,-0.0,-118.28507886398546,0.0
x95,-118.28507886355855,-0.0,-118.28507886355855,0.0
x96,-118.28507886279883,-0.0,-118.28507886279883,0.0
x97,-118.2850788606209,-0.0,-118.2850788606209,0.0
x98,-118.2850788568754,-0.0,-118.2850788568754,0.0
x99,-118.28507885067538,-0.0,-118.28507885067538,0.0
x100,-118.28507883806347,-0.0,-118.28507883806347,0.0
x101,-118.28507881061957,-0.0,-118.28507881061957,0.0
x102,-118.28507863997618,-0.0,-118.28507863997618,0.0
x103,-11.008597802282889,-0.0,-11.008597802282889,0.0
x104,-11.008601938298067,-0.0,-11.008601938298067,0.0
x105,-118.28507872703375,-0.0,-118.28507872703375,0.0
x106,-118.28507882178337,-0.0,-118.28507882178337,0.0
x107,-118.2850788424568,-0.0,-118.2850788424568,0.0
x108,-118.28507885412138,-0.0,-118.28507885412138,0.0
x109,-118.28507915107878,-0.0,-118.28507915107878,0.0
x110,-118.28507915378067,-0.0,-118.28507915378067,0.0
x111,-118.28507915558254,-0.0,-118.28507915558254,0.0
x112,-118.28507915637076,-0.0,-118.28507915637076,0.0
x113,-118.28507886647589,-0.0,-118.28507886647589,0.0
x114,-118.285078866576,-0.0,-118.285078866576,0.0
x115,-118.28507887378984,-0.0,-118.28507887378984,0.0
x116,-118.28507886525472,-0.0,-118.28507886525472,0.0
x117,-118.28507840084981,-0.0,-118.28507840084981,0.0
x118,-118.28507886181099,-0.0,-118.28507886181099,0.0
x119,-118.28507885999622,-0.0,-118.28507885999622,0.0
x120,-118.2850788573911,-0.0,-118.2850788573911,0.0
x121,-118.285079804068,-0.0,-118.285079804068,0.0
x122,-118.2850805108574,-0.0,-118.2850805108574,0.0
x123,-118.28508051503283,-0.0,-118.28508051503283,0.0
x124,-118.28508051329206,-0.0,-118.28508051329206,0.0
x125,-118.28508051123605,-0.0,-118.28508051123605,0.0
x126,-118.28508050592292,-0.0,-118.28508050592292,0.0
x127,-118.28508049913528,-0.0,-118.28508049913528,0.0
x128,-118.28508049522134,-0.0,-118.28508049522134,0.0
x129,-118.28508050651513,-0.0,-118.28508050651513,0.0
x130,-118.28508050804885,-0.0,-118.28508050804885,0.0
